id,name,user_id,department_id,position_description,role_type,created_at,updated_at
351,,56,102,,employee,2022-08-11 07:44:18 UTC,2022-08-11 07:44:18 UTC
352,,58,102,,manager,2022-08-11 07:44:18 UTC,2022-08-11 15:14:35 UTC
354,,107,102,,employee,2022-08-11 16:27:17 UTC,2022-08-11 16:27:17 UTC
355,,56,103,,employee,2022-08-11 16:27:17 UTC,2022-08-11 16:27:17 UTC
356,,58,103,,employee,2022-08-11 16:27:17 UTC,2022-08-11 16:27:17 UTC
357,,106,103,,employee,2022-08-11 16:27:17 UTC,2022-08-11 16:27:17 UTC
358,,107,103,,employee,2022-08-11 16:27:17 UTC,2022-08-11 16:27:17 UTC
359,,106,102,,employee,2022-08-12 02:38:58 UTC,2022-08-12 02:38:58 UTC
360,,108,102,,employee,2022-08-12 05:58:23 UTC,2022-08-12 05:58:23 UTC
361,,56,104,,employee,2022-08-12 05:58:51 UTC,2022-08-12 05:58:51 UTC
363,,106,104,,employee,2022-08-12 05:58:51 UTC,2022-08-12 05:58:51 UTC
364,,107,104,,employee,2022-08-12 05:58:51 UTC,2022-08-12 05:58:51 UTC
365,,108,104,,employee,2022-08-12 05:58:51 UTC,2022-08-12 05:58:51 UTC
366,,108,103,,employee,2022-08-12 06:00:15 UTC,2022-08-12 06:00:15 UTC
367,,58,104,,employee,2022-08-12 06:01:54 UTC,2022-08-12 06:01:54 UTC
368,,56,105,,employee,2022-08-12 06:01:54 UTC,2022-08-12 06:01:54 UTC
369,,58,105,,employee,2022-08-12 06:01:54 UTC,2022-08-12 06:01:54 UTC
370,,106,105,,employee,2022-08-12 06:01:54 UTC,2022-08-12 06:01:54 UTC
371,,107,105,,employee,2022-08-12 06:01:54 UTC,2022-08-12 06:01:54 UTC
372,,108,105,,employee,2022-08-12 06:01:54 UTC,2022-08-12 06:01:54 UTC
